### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 43
# Start time 	 End Time 	 Window length
20040101000053.000000	20040101000133.960000	40.96
20040101000133.970000	20040101000214.930000	40.96
20040101000214.940000	20040101000255.900000	40.96
20040101000255.910000	20040101000336.870000	40.96
20040101000336.880000	20040101000417.840000	40.96
20040101000417.850000	20040101000458.810000	40.96
20040101000458.820000	20040101000539.780000	40.96
20040101000539.790000	20040101000620.750000	40.96
20040101000620.760000	20040101000701.720000	40.96
20040101000701.730000	20040101000742.690000	40.96
20040101000742.700000	20040101000823.660000	40.96
20040101000823.670000	20040101000904.630000	40.96
20040101000904.640000	20040101000945.600000	40.96
20040101000945.610000	20040101001026.570000	40.96
20040101001026.580000	20040101001107.540000	40.96
20040101001107.550000	20040101001148.510000	40.96
20040101001148.520000	20040101001229.480000	40.96
20040101001229.490000	20040101001310.450000	40.96
20040101001310.460000	20040101001351.420000	40.96
20040101001351.430000	20040101001432.390000	40.96
20040101001432.400000	20040101001513.360000	40.96
20040101001513.370000	20040101001554.330000	40.96
20040101001554.340000	20040101001635.300000	40.96
20040101001635.310000	20040101001716.270000	40.96
20040101001716.280000	20040101001757.240000	40.96
20040101001757.250000	20040101001838.210000	40.96
20040101001838.220000	20040101001919.180000	40.96
20040101001919.190000	20040101002000.150000	40.96
20040101002000.160000	20040101002041.120000	40.96
20040101002041.130000	20040101002122.090000	40.96
20040101002122.100000	20040101002203.060000	40.96
20040101002203.070000	20040101002244.030000	40.96
20040101002244.040000	20040101002325.000000	40.96
20040101002325.010000	20040101002405.970000	40.96
20040101002405.980000	20040101002446.940000	40.96
20040101002446.950000	20040101002527.910000	40.96
20040101002527.920000	20040101002608.880000	40.96
20040101002608.890000	20040101002649.850000	40.96
20040101002649.860000	20040101002730.820000	40.96
20040101002730.830000	20040101002811.790000	40.96
20040101002811.800000	20040101002852.760000	40.96
20040101002852.770000	20040101002933.730000	40.96
20040101002933.740000	20040101003014.700000	40.96
### End Time Windows ###
