### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 48
# Start time 	 End Time 	 Window length
20040101000052.000000	20040101000132.960000	40.96
20040101000132.970000	20040101000213.930000	40.96
20040101000213.940000	20040101000254.900000	40.96
20040101000254.910000	20040101000335.870000	40.96
20040101000335.880000	20040101000416.840000	40.96
20040101000416.850000	20040101000457.810000	40.96
20040101000457.820000	20040101000538.780000	40.96
20040101000538.790000	20040101000619.750000	40.96
20040101000619.760000	20040101000700.720000	40.96
20040101000700.730000	20040101000741.690000	40.96
20040101000741.700000	20040101000822.660000	40.96
20040101000822.670000	20040101000903.630000	40.96
20040101000903.640000	20040101000944.600000	40.96
20040101000944.610000	20040101001025.570000	40.96
20040101001025.580000	20040101001106.540000	40.96
20040101001106.550000	20040101001147.510000	40.96
20040101001147.520000	20040101001228.480000	40.96
20040101001228.490000	20040101001309.450000	40.96
20040101001309.460000	20040101001350.420000	40.96
20040101001350.430000	20040101001431.390000	40.96
20040101001431.400000	20040101001512.360000	40.96
20040101001512.370000	20040101001553.330000	40.96
20040101001553.340000	20040101001634.300000	40.96
20040101001634.310000	20040101001715.270000	40.96
20040101001715.280000	20040101001756.240000	40.96
20040101001756.250000	20040101001837.210000	40.96
20040101001837.220000	20040101001918.180000	40.96
20040101001918.190000	20040101001959.150000	40.96
20040101001959.160000	20040101002040.120000	40.96
20040101002040.130000	20040101002121.090000	40.96
20040101002121.100000	20040101002202.060000	40.96
20040101002202.070000	20040101002243.030000	40.96
20040101002243.040000	20040101002324.000000	40.96
20040101002324.010000	20040101002404.970000	40.96
20040101002404.980000	20040101002445.940000	40.96
20040101002445.950000	20040101002526.910000	40.96
20040101002526.920000	20040101002607.880000	40.96
20040101002607.890000	20040101002648.850000	40.96
20040101002648.860000	20040101002729.820000	40.96
20040101002729.830000	20040101002810.790000	40.96
20040101002810.800000	20040101002851.760000	40.96
20040101002851.770000	20040101002932.730000	40.96
20040101002932.740000	20040101003013.700000	40.96
20040101003013.710000	20040101003054.670000	40.96
20040101003054.680000	20040101003135.640000	40.96
20040101003135.650000	20040101003216.610000	40.96
20040101003216.620000	20040101003257.580000	40.96
20040101003257.590000	20040101003338.550000	40.96
### End Time Windows ###
