### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 42
# Start time 	 End Time 	 Window length
20040101000223.000000	20040101000303.960000	40.96
20040101000303.970000	20040101000344.930000	40.96
20040101000344.940000	20040101000425.900000	40.96
20040101000425.910000	20040101000506.870000	40.96
20040101000506.880000	20040101000547.840000	40.96
20040101000547.850000	20040101000628.810000	40.96
20040101000628.820000	20040101000709.780000	40.96
20040101000709.790000	20040101000750.750000	40.96
20040101000750.760000	20040101000831.720000	40.96
20040101000831.730000	20040101000912.690000	40.96
20040101000912.700000	20040101000953.660000	40.96
20040101000953.670000	20040101001034.630000	40.96
20040101001034.640000	20040101001115.600000	40.96
20040101001115.610000	20040101001156.570000	40.96
20040101001156.580000	20040101001237.540000	40.96
20040101001237.550000	20040101001318.510000	40.96
20040101001318.520000	20040101001359.480000	40.96
20040101001359.490000	20040101001440.450000	40.96
20040101001440.460000	20040101001521.420000	40.96
20040101001521.430000	20040101001602.390000	40.96
20040101001602.400000	20040101001643.360000	40.96
20040101001643.370000	20040101001724.330000	40.96
20040101001724.340000	20040101001805.300000	40.96
20040101001805.310000	20040101001846.270000	40.96
20040101001846.280000	20040101001927.240000	40.96
20040101001927.250000	20040101002008.210000	40.96
20040101002008.220000	20040101002049.180000	40.96
20040101002049.190000	20040101002130.150000	40.96
20040101002130.160000	20040101002211.120000	40.96
20040101002211.130000	20040101002252.090000	40.96
20040101002252.100000	20040101002333.060000	40.96
20040101002333.070000	20040101002414.030000	40.96
20040101002414.040000	20040101002455.000000	40.96
20040101002455.010000	20040101002535.970000	40.96
20040101002535.980000	20040101002616.940000	40.96
20040101002616.950000	20040101002657.910000	40.96
20040101002657.920000	20040101002738.880000	40.96
20040101002738.890000	20040101002819.850000	40.96
20040101002819.860000	20040101002900.820000	40.96
20040101002900.830000	20040101002941.790000	40.96
20040101002941.800000	20040101003022.760000	40.96
20040101003022.770000	20040101003103.730000	40.96
### End Time Windows ###
