### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 44
# Start time 	 End Time 	 Window length
20040101000038.000000	20040101000118.960000	40.96
20040101000118.970000	20040101000159.930000	40.96
20040101000159.940000	20040101000240.900000	40.96
20040101000240.910000	20040101000321.870000	40.96
20040101000321.880000	20040101000402.840000	40.96
20040101000402.850000	20040101000443.810000	40.96
20040101000443.820000	20040101000524.780000	40.96
20040101000524.790000	20040101000605.750000	40.96
20040101000605.760000	20040101000646.720000	40.96
20040101000646.730000	20040101000727.690000	40.96
20040101000727.700000	20040101000808.660000	40.96
20040101000808.670000	20040101000849.630000	40.96
20040101000849.640000	20040101000930.600000	40.96
20040101000930.610000	20040101001011.570000	40.96
20040101001011.580000	20040101001052.540000	40.96
20040101001052.550000	20040101001133.510000	40.96
20040101001133.520000	20040101001214.480000	40.96
20040101001214.490000	20040101001255.450000	40.96
20040101001255.460000	20040101001336.420000	40.96
20040101001336.430000	20040101001417.390000	40.96
20040101001417.400000	20040101001458.360000	40.96
20040101001458.370000	20040101001539.330000	40.96
20040101001539.340000	20040101001620.300000	40.96
20040101001620.310000	20040101001701.270000	40.96
20040101001701.280000	20040101001742.240000	40.96
20040101001742.250000	20040101001823.210000	40.96
20040101001823.220000	20040101001904.180000	40.96
20040101001904.190000	20040101001945.150000	40.96
20040101001945.160000	20040101002026.120000	40.96
20040101002026.130000	20040101002107.090000	40.96
20040101002107.100000	20040101002148.060000	40.96
20040101002148.070000	20040101002229.030000	40.96
20040101002229.040000	20040101002310.000000	40.96
20040101002310.010000	20040101002350.970000	40.96
20040101002350.980000	20040101002431.940000	40.96
20040101002431.950000	20040101002512.910000	40.96
20040101002512.920000	20040101002553.880000	40.96
20040101002553.890000	20040101002634.850000	40.96
20040101002634.860000	20040101002715.820000	40.96
20040101002715.830000	20040101002756.790000	40.96
20040101002756.800000	20040101002837.760000	40.96
20040101002837.770000	20040101002918.730000	40.96
20040101002918.740000	20040101002959.700000	40.96
20040101002959.710000	20040101003040.670000	40.96
### End Time Windows ###
