### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.1
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=203
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 45
# Start time 	 End Time 	 Window length
20040101000018.000000	20040101000058.960000	40.96
20040101000058.970000	20040101000139.930000	40.96
20040101000139.940000	20040101000220.900000	40.96
20040101000220.910000	20040101000301.870000	40.96
20040101000301.880000	20040101000342.840000	40.96
20040101000342.850000	20040101000423.810000	40.96
20040101000423.820000	20040101000504.780000	40.96
20040101000504.790000	20040101000545.750000	40.96
20040101000545.760000	20040101000626.720000	40.96
20040101000626.730000	20040101000707.690000	40.96
20040101000707.700000	20040101000748.660000	40.96
20040101000748.670000	20040101000829.630000	40.96
20040101000829.640000	20040101000910.600000	40.96
20040101000910.610000	20040101000951.570000	40.96
20040101000951.580000	20040101001032.540000	40.96
20040101001032.550000	20040101001113.510000	40.96
20040101001113.520000	20040101001154.480000	40.96
20040101001154.490000	20040101001235.450000	40.96
20040101001235.460000	20040101001316.420000	40.96
20040101001316.430000	20040101001357.390000	40.96
20040101001357.400000	20040101001438.360000	40.96
20040101001438.370000	20040101001519.330000	40.96
20040101001519.340000	20040101001600.300000	40.96
20040101001600.310000	20040101001641.270000	40.96
20040101001641.280000	20040101001722.240000	40.96
20040101001722.250000	20040101001803.210000	40.96
20040101001803.220000	20040101001844.180000	40.96
20040101001844.190000	20040101001925.150000	40.96
20040101001925.160000	20040101002006.120000	40.96
20040101002006.130000	20040101002047.090000	40.96
20040101002047.100000	20040101002128.060000	40.96
20040101002128.070000	20040101002209.030000	40.96
20040101002209.040000	20040101002250.000000	40.96
20040101002250.010000	20040101002330.970000	40.96
20040101002330.980000	20040101002411.940000	40.96
20040101002411.950000	20040101002452.910000	40.96
20040101002452.920000	20040101002533.880000	40.96
20040101002533.890000	20040101002614.850000	40.96
20040101002614.860000	20040101002655.820000	40.96
20040101002655.830000	20040101002736.790000	40.96
20040101002736.800000	20040101002817.760000	40.96
20040101002817.770000	20040101002858.730000	40.96
20040101002858.740000	20040101002939.700000	40.96
20040101002939.710000	20040101003020.670000	40.96
20040101003020.680000	20040101003101.640000	40.96
### End Time Windows ###
