### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 36
# Start time 	 End Time 	 Window length
20040101000008.000000	20040101000048.960000	40.96
20040101000048.970000	20040101000129.930000	40.96
20040101000129.940000	20040101000210.900000	40.96
20040101000210.910000	20040101000251.870000	40.96
20040101000251.880000	20040101000332.840000	40.96
20040101000332.850000	20040101000413.810000	40.96
20040101000413.820000	20040101000454.780000	40.96
20040101000454.790000	20040101000535.750000	40.96
20040101000535.760000	20040101000616.720000	40.96
20040101000616.730000	20040101000657.690000	40.96
20040101000657.700000	20040101000738.660000	40.96
20040101000738.670000	20040101000819.630000	40.96
20040101000819.640000	20040101000900.600000	40.96
20040101000900.610000	20040101000941.570000	40.96
20040101000941.580000	20040101001022.540000	40.96
20040101001022.550000	20040101001103.510000	40.96
20040101001103.520000	20040101001144.480000	40.96
20040101001144.490000	20040101001225.450000	40.96
20040101001225.460000	20040101001306.420000	40.96
20040101001306.430000	20040101001347.390000	40.96
20040101001347.400000	20040101001428.360000	40.96
20040101001428.370000	20040101001509.330000	40.96
20040101001509.340000	20040101001550.300000	40.96
20040101001550.310000	20040101001631.270000	40.96
20040101001631.280000	20040101001712.240000	40.96
20040101001712.250000	20040101001753.210000	40.96
20040101001753.220000	20040101001834.180000	40.96
20040101001834.190000	20040101001915.150000	40.96
20040101001915.160000	20040101001956.120000	40.96
20040101001956.130000	20040101002037.090000	40.96
20040101002037.100000	20040101002118.060000	40.96
20040101002118.070000	20040101002159.030000	40.96
20040101002159.040000	20040101002240.000000	40.96
20040101002240.010000	20040101002320.970000	40.96
20040101002320.980000	20040101002401.940000	40.96
20040101002401.950000	20040101002442.910000	40.96
### End Time Windows ###
