558964	4067472	39.548	M6
554686	4068322	76.26	m16
555898	4069444	8.352	m17
557000	4070619	17.894	m18
555584	4068104	37.717	m20
556505	4069080	18.807	m21
557461	4069978	23.997	m23
556969	4068024	39.619	m24
558336	4069083	71.531	m25
559581	4070076	81.651	m26
560038	4070493	118.342	m27
556291	4065892	103.85	m28
557469	4066922	82.73	m29
558160	4067639	80.693	m30
559438	4068666	54.476	m31
560866	4070388	77.84	m32
557726	4065760	101.695	m33
558705	4066820	50.701	m34
560109	4068280	45.272	m36
562064	4070358	80.687	m37
558525	4065718	110.173	m38
559567	4066740	35.995	m39
560583	4067786	20.343	m40
561881	4069150	36.669	m42
559811	4065225	76.793	m43
560660	4066249	67.337	m44
561474	4067349	13.485	m45
562862	4069225	24.574	m46
563631	4070308	32.532	m47
560479	4064302	64.095	m48
561535	4065680	30.038	m49
562487	4066896	6.222	m50
