### Parameters ###
SIGNAL FILE NAME=### temporary signal ###
# TYPEs:
#   - Signal: from the start or to the end of signal (TEXT are useless)
#   - Delta: a fixed duration counted from the start or the end (e.g. TEXT=1h).
#   - Pick: from or to a time pick (TEXT=time pick name).
#   - Absolute: from or to a fixed time (e.g. TEXT=3d5h6m45s)
FROM_TIME_TYPE=Signal
FROM_TIME_TEXT=0s
# TYPEs: Signal, Delta, Absolute
TO_TIME_TYPE=Signal
TO_TIME_TEXT=0s
REFERENCE=
# TYPEs: Exactly, AtLeast, FrequencyDependent
WINDOW_LENGTH_TYPE=Exactly
WINDOW_MIN_LENGTH(s)=40.96
WINDOW_MAX_LENGTH(s)=40.96
WINDOW_MAX_COUNT=0
WINDOW_POWER_OF_TWO (y/n)=n
BAD_SAMPLE_TOLERANCE (s)=0
BAD_SAMPLE_GAP (s)=0
WINDOW_OVERLAP (%)=0
# TYPEs: NoSampleThreshold, RelativeSampleThreshold, AbsoluteSampleThreshold
BAD_SAMPLE_THRESHOLD_TYPE=NoSampleThreshold
ANTI-TRIGGERING_ON_RAW_SIGNAL (y/n)=n
ANTI-TRIGGERING_ON_FILTERED_SIGNAL (y/n)=n
# Start a time window for each seismic event available inside the time range.
SEISMIC_EVENT_TRIGGER (y/n)=n
SEISMIC_EVENT_TDELAY (s)=-0.1
SMOOTHING TYPE=KonnoOmachi
SMOOTHING CONSTANT=30
WINDOW TYPE=Tuckey
WINDOW REVERSED=n
WINDOW ALPHA=0.1
MINIMUM FREQUENCY=0.5
MAXIMUM FREQUENCY=15
# Either 'log' or 'linear'
SAMPLING_TYPE FREQUENCY=Log
# Number of samples is either set to a fixed value ('Count') or through a step between samples ('Step')'
STEP_TYPE FREQUENCY=Step
SAMPLES_NUMBER FREQUENCY=138
# STEP=ratio between two successive samples for 'log' scales
# STEP=difference between two successive samples for 'linear' scales
STEP FREQUENCY=1.025
INVERSED FREQUENCY (y/n)=n
HIGH PASS FREQUENCY=0
HORIZONTAL COMPONENTS=Squared
HORIZONTAL AZIMUTH=0
### End Parameters ###
### Windowing Log ###
Automatic windowing
### End Windowing Log ###
### Time Windows ###
# Number= 50
# Start time 	 End Time 	 Window length
20040101000143.000000	20040101000223.960000	40.96
20040101000223.970000	20040101000304.930000	40.96
20040101000304.940000	20040101000345.900000	40.96
20040101000345.910000	20040101000426.870000	40.96
20040101000426.880000	20040101000507.840000	40.96
20040101000507.850000	20040101000548.810000	40.96
20040101000548.820000	20040101000629.780000	40.96
20040101000629.790000	20040101000710.750000	40.96
20040101000710.760000	20040101000751.720000	40.96
20040101000751.730000	20040101000832.690000	40.96
20040101000832.700000	20040101000913.660000	40.96
20040101000913.670000	20040101000954.630000	40.96
20040101000954.640000	20040101001035.600000	40.96
20040101001035.610000	20040101001116.570000	40.96
20040101001116.580000	20040101001157.540000	40.96
20040101001157.550000	20040101001238.510000	40.96
20040101001238.520000	20040101001319.480000	40.96
20040101001319.490000	20040101001400.450000	40.96
20040101001400.460000	20040101001441.420000	40.96
20040101001441.430000	20040101001522.390000	40.96
20040101001522.400000	20040101001603.360000	40.96
20040101001603.370000	20040101001644.330000	40.96
20040101001644.340000	20040101001725.300000	40.96
20040101001725.310000	20040101001806.270000	40.96
20040101001806.280000	20040101001847.240000	40.96
20040101001847.250000	20040101001928.210000	40.96
20040101001928.220000	20040101002009.180000	40.96
20040101002009.190000	20040101002050.150000	40.96
20040101002050.160000	20040101002131.120000	40.96
20040101002131.130000	20040101002212.090000	40.96
20040101002212.100000	20040101002253.060000	40.96
20040101002253.070000	20040101002334.030000	40.96
20040101002334.040000	20040101002415.000000	40.96
20040101002415.010000	20040101002455.970000	40.96
20040101002455.980000	20040101002536.940000	40.96
20040101002536.950000	20040101002617.910000	40.96
20040101002617.920000	20040101002658.880000	40.96
20040101002658.890000	20040101002739.850000	40.96
20040101002739.860000	20040101002820.820000	40.96
20040101002820.830000	20040101002901.790000	40.96
20040101002901.800000	20040101002942.760000	40.96
20040101002942.770000	20040101003023.730000	40.96
20040101003023.740000	20040101003104.700000	40.96
20040101003104.710000	20040101003145.670000	40.96
20040101003145.680000	20040101003226.640000	40.96
20040101003226.650000	20040101003307.610000	40.96
20040101003307.620000	20040101003348.580000	40.96
20040101003348.590000	20040101003429.550000	40.96
20040101003429.560000	20040101003510.520000	40.96
20040101003510.530000	20040101003551.490000	40.96
### End Time Windows ###
